source,target,tgt_lng
self-identity,自我认同,
group affiliations,群体归属,
tribal belonging,部落归属,
political parties,政党,
ideological groups,意识形态团体,
dissenting opinions,不同意见,
social communities,社会群体,
cognitive discomfort,认知不适,
echo chambers,回声室,
media consumption,媒体消费,
homogeneous viewpoints,同质观点,
motivated reasoning,动机推理,
cognitive distance,认知距离,
Tajfel & Turner,泰杰菲尔与特纳,
Greene,格林,
biased information processing,有偏信息处理,
over-confidence,过度自信,
American voters,美国选民,
2020 elections,2020年选举,
electoral outcomes,选举结果,
Republicans,共和党,
Trump,特朗普,
Democrats,民主党人,
Biden,拜登,
partisan traders,党派交易者,
election outcomes,选举结果,
polling data,民意调查数据,
independent voters,独立选民,
weaker prior beliefs,较弱先验信念,
contradictory evidence,矛盾证据,
economic conditions,经济状况,
exogenous polling information,外生民意调查信息,
probability assessments,概率评估,
political bias,政治偏见,
polarization,两极分化,
financial behavior,金融行为,
economic indicators,经济指标,
employment,就业,
inflation,通货膨胀,
governing administration,执政政府,
economic optimism,经济乐观主义,
bankers,银行家,
loan spreads,贷款利差,
CEOs,首席执行官,
store traffic,店铺流量,
COVID-19,COVID-19,
McCartney et al.,麦卡锡等人,
Cookson et al.,库克森等人,
Meeuwis et al.,米厄维斯等人,
Republican partisan investors,共和党派系投资者,
non-partisans,非派系人士,
neutral traders,中立交易者,
favored candidate,偏好的候选人,
electoral events,选举事件,
commitment intensity,承诺强度,
Escalation of commitment,承诺升级,
Staw,斯陶,
Coibion et al.,库比翁等人,
partisan voters,派系选民,
contradictory polling data,矛盾的民意调查数据,
overconfidence,过度自信,
excessive trading,过度交易,
Barber & Odean,巴伯与奥迪恩,
Grinblatt & Kehoarju,格林布拉特与凯霍亚鲁,
Identity maintenance,身份维护,
political partisanship,政治派系主义,
Polymarket,Polymarket,
blockchain-based prediction market,区块链预测市场,
2024,2024年,
U.S. presidential election markets,美国总统选举市场,
Harris,哈里斯,
"June 22, 2024",2024年6月22日,
"November 4, 2024",2024年11月4日,
Biden-Trump debate,拜登-特朗普辩论,
Trump Assassination Attempt,特朗普暗杀企图,
minimum transaction threshold,最低交易阈值,
Giglio et al. 2021,Giglio等人(2021),
October Surprise,十月惊喜,
Iowa Selzer Poll,爱荷华塞尔泽民调,
active traders,活跃交易者,
partisan,党派性,
neutral,中立,
key electoral events,关键选举事件,
linear probability model,线性概率模型,
difference-in-differences model,双重差分模型,
trader persistence,交易者持续性行为,
trader commitment intensity,交易者承诺强度,
alternative hypothesis,替代假设,
control variables,控制变量,
theoretical mechanisms,理论机制,
pre-event trading behavior,事件前交易行为,
information shocks,信息冲击,
revealed preferences,显示偏好,
"environmental, social, and governance (ESG) factors",环境、社会和治理（ESG）因素,
net buy volume,净买入量,
Democratic candidates,民主党候选人,
Republican candidates,共和党候选人,
Partisan Score,党派性得分,
threshold,阈值,
Democrat,民主党人,
Republican,共和党人,
neutrals,中立者,
pre-event window,事件前窗口,
transactions,交易,
Difference-in-Differences Regression Specification,双重差分回归规范,
Percentage Net Flows,净流量百分比,
Net Position Ratio,净位置比率,
Net Transaction Count,净交易计数,
P artisan,P_党派交易员,
P ost,P_事件后,
DID coefficient β3,DID系数β3,
Republican partisan traders,共和党派交易员,
Democratic partisan traders,民主党派交易员,
baseline trading activity,基准交易活动,
transaction counts,交易计数,
control variable,控制变量,
Partisanship,党派性,
Persistence,持续性,
Event,事件,
t-stat,t统计量,
Controls,控制变量,
R2,R方,
N,样本量,
(β1),(β1),
cognitive dissonance,认知失调,
belief perseverance,信念持久,
partisan identity,党派身份,
account age,账户年龄,
total pre-event trading volume,事件前总交易量,
R-squared,R平方,
Democratic pool,民主党群体,
Republican pool,共和党群体,
Trump Assassination,特朗普暗杀,
Post,后期,
(β2),(β2),
(β3),(β3),
All Events,所有事件,
-0.515∗∗∗,-0.515∗∗∗,
-0.079∗∗∗,-0.079∗∗∗,
0.399∗∗∗,0.399∗∗∗,
Partisan × Post,党派性×后期,
Harris-Trump Debate,哈里斯-特朗普辩论,
Trade,贸易,
TABLE X,表X,
American Economic Review,美国经济评论,
The Review of Asset Pricing Studies,资产定价研究评论,
Journal of Financial Economics,金融经济学杂志,
American Political Science Review,美国政治科学评论,
Toulouse Network for Information Technology,图卢兹信息技术网络,
Journal of Finance,金融学杂志,
The Journal of Politics,政治学杂志,
Public Opinion Quarterly,舆论季刊,
Annual Review of Political Science,政治科学年度评论,
Annual Review of Financial Economics,金融经济学年度评论,
Dollar Net Position,美元净头寸,
Age,年龄,
Dollar Net Flows,美元净流量,
Attempt,企图,
Biden Stepping Down,拜登卸任,
