source,target,tgt_lng
2028,2028,
Rongxin Ouyang,荣新宇,
International Journal of Communication,国际传播学杂志,
Book Review,书评,
financial speculation,金融投机,
construction of markets,市场构建,
technological itch,技术渴望,
creative instinct,创造性本能,
economic conditions,经济条件,
early adopters,早期采用者,
microcomputers,微型计算机,
creative exploration,创造性探索,
wealth accumulation,财富积累,
consumer technology,消费技术,
hybrid of methods,混合方法,
business analytics,商业分析,
semiotic analysis,符号学分析,
romantic commercial success,浪漫商业成功,
financial aspirations,金融渴望,
industrial imagination,工业想象,
personal imaginations,个人想象,
actors,行动者,
personalized computers,个性化计算机,
commercially,商业上,
culturally,文化上,
historically,历史上,
Doing Cultural Studies,文化研究实践,
Sony Walkman,索尼随身听,
The Age of Apple II,苹果II时代,
Apple II,苹果II,
unexplored trajectories,未探索的轨迹,
