source,target,tgt_lng
JOURNALISM STUDIES,新闻学研究,
1664 S. STEENSENET AL.,1664 S. STEENSENET AL.,
1670 S. STEENSENET AL.,1670 S. STEENSENET AL.,
audience engagement,受众参与,
spatiotemporal,时空,
normative,规范,
1674 S. STEENSENET AL.,1674 S. STEENSENET 街,
1676 S. STEENSENET AL.,1676 S. STEENSENET AL.,
1678 S. STEENSENET AL.,1678 S. STEENSENET 街,
1677,1677,
1680 S. STEENSENET AL.,1680 S. STEENSENET AL.,
Tandoc,Tandoc,
Belair-Gagnon,Belair-Gagnon,
Nelson,Nelson,
Lewis,Lewis,
Stumpf,Stumpf,
Tymon,Tymon,
van Dam,van Dam,
Lawrence,Lawrence,
Radcliffe,Radcliffe,
Schmidt,Schmidt,
Espeland,Espeland,
Stevens,Stevens,
Zeng,Zeng,
Hibbeln,Hibbeln,
Swart,Swart,
Peters,Peters,
Broersma,Broersma,
Ytre-Arne,Ytre-Arne,
Moe,Moe,
plugin,插件,
Ben Grosser,本·格罗斯尔,
University of Illinois,伊利诺伊大学,
representational metrics,表征指标,
Facebook,Facebook,
dimensions,维度,
timestamps,时间戳,
likes,点赞,
shares,分享,
comments,评论,
crafting the experience of sociality,塑造社交体验,
technical-behavioural aspects,技术行为方面,
emotional dimensions,情感维度,
spatiotemporal dimensions,时空维度,
normative dimensions,规范维度,
journalism scholarship,新闻学 scholarship,
central (mediated) contexts,中心（中介）语境,
impact,影响,
research inquiry,研究探究,
relationships and practices,关系与实践,
engagement,参与,
conceptual model,概念模型,
McMillan,麦克米伦,
interactivity,互动性,
human-to-self relation,人-自我关系,
machine-to-machine relation,机器-机器关系,
automated production and distribution processes,自动化生产与分发过程,
smart media technologies,智能媒体技术,
algorithms,算法,
datafication,数据化,
economic value,经济价值,
sociopolitical impacts,社会政治影响,
Table 1,表1,
engagement types,参与类型,
operationalize,操作化,
behavioural paradigm,行为范式,
individual audience member,个体受众,
technical-behavioural dimension,技术行为维度,
emotional dimension,情感维度,
normative dimension,规范维度,
spatiotemporal dimension,时空维度,
human actors,人类行动者,
non-human actors,非人类行动者,
social-constructivist,社会建构主义,
social and cultural contexts,社会文化背景,
subjective perspectives and experiences,主观视角和经验,
individual variances,个体差异,
Livingstone,利文斯顿,
audience studies,受众研究,
"disembodied, decontextualized observations of behavior",非实体化、去情境化的行为观察,
survey percentages,调查百分比,
contemporary discourse on audience engagement,当代受众参与话语,
"quantitative, measurable, metrics-oriented bias",定量、可测量、指标导向的偏见,
emotionality,情感性,
normativity,规范性,
spatiotemporal contexts,时空背景,
socio-political consequences,社会政治后果,
dark forms of engagement,黑暗形式的参与,
beneficial forms of engagement,有益形式的参与,
paradigm shift,范式转变,
media analytics stage of media technologies,媒体技术分析阶段,
communicative engagement,沟通参与,
music,音乐,
film,电影,
literature,文学,
reality tv-shows,真人秀,
social media posts,社交媒体帖子,
public affairs,公共事务,
marketing campaigns,营销活动,
grand theory,宏大理论,
abstract theoretical building blocks,抽象理论构建模块,
empirical research,实证研究,
framework,框架,
metrics-based fiat,基于指标的权威,
