source,target,tgt_lng
International Journal of Press/Politics,国际新闻/政治学杂志,
National University of Singapore,新加坡国立大学,
Shaw Foundation Alumni House,邵氏基金会校友楼,
NUSS Kent Ridge Guild House,国立大学学生社团楼,
Saffron Taberez A. Neyazi,萨夫隆·塔贝雷兹·A·内亚齐,
Saffron Keynote speech,萨夫隆主旨演讲,
Sabina Mihelj,萨比娜·米赫尔,
Saffron,藏红花,
Taberez Ahmed Neyazi,塔贝雷兹·阿赫梅德·涅亚齐,
Barbara Pfetsch,芭芭拉·佩茨奇,
Weizenbaum-Institute,魏森鲍姆研究所,
Freie Universität Berlin,柏林自由大学,
Natalie Pang,娜塔莉·庞,
Shannon C. McGregor,香农·C·麦格劳,
University of North Carolina,北卡罗来纳大学,
Tetsuro Kobayashi,小林哲郎,
Waseda University,早稻田大学,
